feature,cls,reg,combined,tweedie
rolling_mean_4w,67.44539042655676,46.87642837500582,26.781938929099795,0.5167608677284935
rolling_std_4w,0.005865799178377996,0.6584552228168681,17.731762302935188,35.000846210145056
trend_4w,0.3929409808082105,0.8662265814242749,17.341130311927163,33.95801972261487
rolling_max_4w,15.543234075190163,12.297191274262497,6.659424203729122,0.04784429291744567
rolling_median_4w,7.054695260922926,11.230674239796121,5.108975503846875,0.24007046155958742
demand_cv_4w,0.487923699110949,0.480368849220229,3.864188450353349,7.245741596519252
rain_total,0.0,0.1101372709773196,3.1773865992264625,6.277677108768802
lag_1w,3.0255514102712247,7.6301614792325845,3.1572287631787535,0.06567906781333091
lag1_zscore,0.03695521012543034,0.7400301037670872,3.1312751914537134,5.733442747232837
store_std_weekly,0.01567040040238622,1.1120808963250406,1.767918465975185,2.7526791844021257
month,0.007346165370164005,0.2744711886716623,1.4699349417746905,2.7455362018681684
rolling_mean_12w,1.09664133409079,3.3097448655266217,1.3229069030479361,0.0
censored_ratio_4w,0.10414248043183197,2.389558123190882,0.8519667151815834,0.0
week,0.10058910791436398,2.006138108004407,0.7172367039886971,0.0
week_cos,0.024061107486890287,0.3172107347818317,0.6949019915732334,1.1605381365531175
store_product_share,0.3578340683924092,1.4292213133026914,0.5641403855438043,0.02047563125800192
nonzero_mean_4w,0.026583678695482275,1.339271508015636,0.472732579609795,0.0
rolling_return_rate_4w,0.49435040369377925,1.0486722000182966,0.4411878305604707,0.0
weeks_since_nonzero,2.641797628231352,0.06079087256034251,0.4175464496308226,0.0
week_sin,0.022776160686770096,0.4381724777120448,0.38773057482441553,0.4619075670443687
store_avg_weekly,0.18382727173394506,0.9690525591065478,0.38280835362505233,0.03213173435533774
precip_total_lag1w,0.0036856964423199862,0.30747920205606283,0.3415103522392612,0.46667955410658246
temp_range,0.06608247833771168,0.6650313227695367,0.25119054337905444,0.017034417318119763
temp_mean,0.009393380915174365,0.11007012476040562,0.24157337734432707,0.4032796530818179
lag_2w,0.05940357004160397,0.45369193944620667,0.2230610718695189,0.11071671511421191
namn_te,0.04114462060697731,0.20625371463307093,0.21826490128214499,0.2798088161390472
n_holidays,0.0,0.23679407877812247,0.18885674476414283,0.21195763438359994
temp_mean_lag1w,0.01686705256213984,0.3560423284040246,0.1757869227318025,0.09728409981214582
sunshine_hrs,0.034045532177474705,0.2492026493025322,0.17332594829171666,0.1619963824184184
rain_days,0.0011432211794195808,0.02488765429656972,0.13282502655890494,0.2478857287563852
active_ratio_8w,0.4200137845314475,0.17499589214915362,0.12985451167366258,0.011207763483483369
is_cold,0.0,0.0,0.1175743054823851,0.2351486109647702
precip_total,0.0,0.2614620201892819,0.11108392124233998,0.03914442835218264
season_spring,0.0,0.05260116036108862,0.10210857103474247,0.1673963298167229
typ_te,0.005398176107882088,0.028369791870892443,0.10038777313600673,0.17929723913002413
temp_max,0.06709824250874669,0.17932853229281404,0.09936336673666303,0.05306728811573224
is_snowy_week,0.0,0.0,0.09199980499626222,0.18399960999252443
recent_zero_count,0.06475137691553595,0.07116448464126345,0.07229653243551618,0.07535251254748718
category_season_avg,0.010201614930774892,0.16628040647953496,0.06320221105688636,0.006947653098865792
season_autumn,0.0,0.006969022157206996,0.05886293177854973,0.11284754804705456
season_winter,0.0,0.0014449936333511342,0.05882521569923829,0.11663893585513078
temp_anomaly,0.0014408304494801115,0.16341986804447461,0.05741307838298813,0.0
wind_max,0.003132171493052197,0.15387651485851778,0.0568433824447411,0.005033553040604096
snow_total,0.002223047420362809,0.11534846793163105,0.05271824511935902,0.024025648460467473
bad_weather,0.0,0.02178184644619466,0.05061679697633943,0.0859863014403426
product_avg_weekly,0.00211547284378394,0.0898465761165959,0.04641156640033778,0.029295887665923247
temp_min,0.007991665032536623,0.11511232526131153,0.04556140465260239,0.008146682112525725
gust_max,0.015949819124254985,0.12159197955319911,0.04494966571225793,0.0
snow_days,0.0032946588864098533,0.024738506455369673,0.04206380975626853,0.06582226732785533
product_n_stores,0.0,0.015830281200418076,0.041855622092681545,0.07263004734507043
yoy_same_week,0.09644691819870267,0.027587595393856603,0.04015796839253066,0.032070544549750904
is_rainy_week,0.0,0.0016703700767717361,0.036125122883434675,0.07108098671312914
season_summer,0.0,0.0,0.03567309719463569,0.07134619438927138
product_id_te,0.0,0.013068106721732406,0.031441560329803664,0.053735445954394646
is_post_holiday_week,0.0,0.0,0.012782768015225796,0.025565536030451592
is_pre_holiday_week,0.0,0.0,0.005586909815821621,0.011173819631643243
is_hot,0.0,0.0,0.0035228170117348394,0.007045634023469679
is_summer,0.0,0.0,0.0,0.0
is_december,0.0,0.0,0.0,0.0
is_holiday_week,0.0,0.0,0.0,0.0
is_high_impact_holiday,0.0,0.0,0.0,0.0
